AAT,阿勒泰机场,新疆维吾尔自治区,阿勒泰地区,阿勒泰市
ACX,兴义机场,贵州省,黔西南布依族苗族自治州,兴义市
AKA,安康机场,陕西省,安康市,汉滨区
AKU,阿克苏机场,新疆维吾尔自治区,阿克苏地区,阿克苏市
AOG,鞍山机场,辽宁省,鞍山市,铁西区
AQG,安庆机场,安徽省,安庆市,宜秀区
AVA,黄果树机场,贵州省,安顺市,西秀区
AYN,安阳机场,河南省,安阳市,北关区
BAV,包头机场,内蒙古自治区,包头市,东河区
BFU,蚌埠机场,安徽省,蚌埠市,龙子湖区
BHY,北海机场,广西壮族自治区,北海市,银海区
BPX,邦达机场,西藏自治区,昌都市,八宿县
BSD,保山机场,云南省,保山市,隆阳区
CAN,广州机场,广东省,广州市,花都区
CGD,常德机场,湖南省,常德市,鼎城区
CGO,郑州机场,河南省,郑州市,新郑市
CGQ,长春机场,吉林省,长春市,九台区
CHG,朝阳机场,北京市,北京市,朝阳区
CHW,酒泉机场,甘肃省,酒泉市,敦煌市
CIF,赤峰机场,内蒙古自治区,赤峰市,喀喇沁旗
CIH,长治机场,山西省,长治市,潞州区
CKG,重庆机场,重庆市,重庆市,渝北区
CNI,大长山倒,辽宁省,大连市,长海县
CSX,长沙机场,湖南省,长沙市,长沙县
CTU,成都机场,四川省,成都市,双流区
CZX,常州机场,江苏省,常州市,新北区
DAT,大同机场,山西省,大同市,云州区
DAX,达县机场,四川省,达州市,达川区
DDG,丹东机场,辽宁省,丹东市,振兴区
DGM,东莞机场,广东省,东莞市,东莞市
DIG,迪庆机场,云南省,迪庆藏族自治州,香格里拉市
DLC,大连机场,辽宁省,大连市,甘井子区
DLU,大理市机场,云南省,大理白族自治州,凤仪镇
DNH,敦煌机场,甘肃省,酒泉市,敦煌市
DOY,东营机场,山东省,东营市,垦利区
DSN,东胜机场,内蒙古自治区,鄂尔多斯市,东胜区
DYG,大庸机场,湖南省,张家界市,永定区
DZU,大足机场,重庆市,重庆市,大足区
ENH,恩施机场,湖北省,恩施土家族苗族自治州,恩施市
ENY,延安机场,陕西省,延安市,宝塔区
FOC,福州机场,福建省,福州市,长乐区
FUD,绥芬河机场,黑龙江省,牡丹江市,东宁市
FUG,阜阳机场,安徽省,阜阳市,颍州区
FUO,佛山机场,广东省,佛山市,南海区
FYN,富蕴机场,新疆维吾尔自治区,阿勒泰地区,富蕴县
GHN,广汉机场,四川省,德阳市,广汉市
GOQ,格尔木机场,青海省,海西蒙古族藏族自治州,格尔木市
GYS,广元机场,四川省,广元市,利州区
HAK,海口机场,海南省,海口市,美兰区
HEK,黑河机场,黑龙江省,黑河市,爱辉区
HET,呼和浩特机场,内蒙古自治区,呼和浩特市,赛罕区
HFE,合肥机场,安徽省,合肥市,蜀山区
HGH,杭州萧山国际机场,浙江省,杭州市,萧山区
HLD,海拉尔机场,内蒙古自治区,呼伦贝尔市,海拉尔区
HLH,乌兰浩特机场,内蒙古自治区,兴安盟,乌兰浩特市
HMI,哈密机场,新疆维吾尔自治区,哈密市,伊州区
HNY,衡阳机场,湖南省,衡阳市,衡南县
HRB,哈尔滨机场,黑龙江省,哈尔滨市,道里区
HSC,韶关机场,广东省,韶关市,乳源瑶族自治县
HSN,舟山机场,浙江省,舟山市,普陀区
HTN,和田机场,新疆维吾尔自治区,和田地区,和田市
HUZ,惠州机场,广东省,惠州市,惠阳区
HYN,黄岩机场,北京市,北京市,密云区
HZG,汉中机场,陕西省,汉中市,城固县
INC,银川机场,宁夏回族自治区,银川市,灵武市
IQM,且末机场,新疆维吾尔自治区,巴音郭楞蒙古自治州,且末县
IQN,庆阳机场,甘肃省,庆阳市,西峰区
JDZ,景德镇机场,江西省,景德镇市,浮梁县
JGN,嘉峪关机场,甘肃省,嘉峪关市,嘉峪关市
JGS,井冈山机场,江西省,吉安市,泰和县
JHG,景洪机场,云南省,西双版纳傣族自治州,景洪市
JIL,吉林机场,吉林省,长春市,九台区
JIU,九江机场,江西省,九江市,柴桑区
JJN,晋江机场,福建省,泉州市,晋江市
JMU,佳木斯机场,黑龙江省,佳木斯市,郊区
JNG,济宁机场,山东省,济宁市,嘉祥县
JNZ,锦州机场,辽宁省,锦州市,太和区
JUZ,衢州机场,浙江省,衢州市,柯城区
JZH,九寨黄龙机场,四川省,阿坝藏族羌族自治州,松潘县
KCA,库车机场,新疆维吾尔自治区,阿克苏地区,库车市
KHG,喀什机场,新疆维吾尔自治区,喀什地区,喀什市
KHN,南昌机场,江西省,南昌市,新建区
KMG,昆明机场,云南省,昆明市,官渡区
KNC,吉安机场,江西省,吉安市,泰和县
KOW,赣州机场,江西省,赣州市,南康区
KRL,库尔勒机场,新疆维吾尔自治区,巴音郭楞蒙古自治州,库尔勒市
KRY,克拉玛依机场,新疆维吾尔自治区,克拉玛依市,克拉玛依区
KWE,贵阳机场,贵州省,贵阳市,南明区
KWL,桂林机场,广西壮族自治区,桂林市,临桂区
LCX,龙岩机场,福建省,龙岩市,连城县
LHW,兰州机场,甘肃省,兰州市,永登县
LJG,丽江机场,云南省,丽江市,古城区
LLF,永州零陵机场,湖南省,永州市,冷水滩区
LNJ,临沧机场,云南省,临沧市,临翔区
LUM,德宏芒市机场,云南省,德宏傣族景颇族自治州,芒市
LUZ,庐山机场,江西省,九江市,柴桑区
LXA,拉萨机场,西藏自治区,山南市,贡嘎县
LYA,洛阳机场,河南省,洛阳市,老城区
LYG,连云港机场,江苏省,连云港市,灌云县
LYI,临沂机场,山东省,临沂市,河东区
LZD,兰州东机场,甘肃省,兰州市,永登县
LZH,柳州机场,广西壮族自治区,柳州市,柳江区
LZN,南竿机场,福建省,福州市,连江县
LZO,泸州机场,四川省,泸州市,泸县
MDG,牡丹江机场,黑龙江省,牡丹江市,西安区
MIG,绵阳机场,四川省,绵阳市,涪城区
MXZ,梅县机场,广东省,梅州市,梅江区
NAO,南充机场,四川省,南充市,高坪区
NAY,北京南苑机场,北京市,北京市,丰台区
NDG,齐齐哈尔机场,黑龙江省,齐齐哈尔市,龙沙区
NGB,宁波机场,浙江省,宁波市,海曙区
NKG,南京机场,江苏省,南京市,江宁区
NNG,南宁机场,广西壮族自治区,南宁市,江南区
NNY,南阳机场,河南省,南阳市,宛城区
NTG,南通机场,江苏省,南通市,通州区
NZH,满洲里机场,内蒙古自治区,呼伦贝尔市,满洲里市
PEK,北京首都国际机场,北京市,北京市,朝阳区
PNJ,蓬莱机场,山东省,烟台市,蓬莱区
PVG,上海浦东国际机场,上海市,上海市,浦东新区
PZI,攀枝花机场,四川省,攀枝花市,仁和区
RUG,如皋机场,江苏省,南通市,通州区
SHA,上海虹桥机场,上海市,上海市,长宁区
SHE,沈阳机场,辽宁省,沈阳市,浑南区
SHF,山海关机场,河北省,秦皇岛市,山海关区
SHP,秦皇岛机场,河北省,秦皇岛市,昌黎县
SHS,沙市机场,湖北省,荆州市,沙市区
SIA,西安机场,陕西省,咸阳市,渭城区
SJW,石家庄机场,河北省,石家庄市,正定县
SWA,汕头机场,广东省,汕头市,龙湖区
SYM,思茅机场,云南省,普洱市,思茅区
SYX,三亚机场,海南省,三亚市,天涯区
SZV,苏州机场,江苏省,苏州市,吴中区
SZX,深圳机场,广东省,深圳市,宝安区
TAO,青岛机场,山东省,青岛市,胶州市
TCG,塔城机场,新疆维吾尔自治区,塔城地区,塔城市
TEN,铜仁机场,贵州省,铜仁市,松桃苗族自治县
TGO,通辽机场,内蒙古自治区,通辽市,科尔沁区
TNA,济南机场,山东省,济南市,历城区
TNH,通化机场,吉林省,通化市,柳河县
TSN,天津机场,天津市,天津市,东丽区
TXN,屯溪机场,安徽省,黄山市,屯溪区
TYN,太原机场,山西省,太原市,小店区
URC,乌鲁木齐机场,新疆维吾尔自治区,乌鲁木齐市,新市区
UYN,玉林机场,广西壮族自治区,玉林市,福绵区
WEF,潍坊机场,山东省,潍坊市,奎文区
WEH,威海机场,山东省,威海市,文登区
WHU,芜湖机场,安徽省,芜湖市,湾b区
WNZ,温州机场,浙江省,温州市,龙湾区
WUA,武汉机场,湖北省,武汉市,黄陂区
WUH,武汉机场,湖北省,武汉市,黄陂区
WUS,武夷山机场,福建省,南平市,武夷山市
WUX,无锡机场,江苏省,无锡市,新吴区
WUZ,梧州机场,广西壮族自治区,梧州市,藤县
WXN,万县机场,重庆市,重庆市,万州区
XEN,兴城机场,辽宁省,葫芦岛市,兴城市
XFN,襄樊机场,湖北省,襄阳市,襄州区
XIC,西昌机场,四川省,凉山彝族自治州,西昌市
XIL,锡林浩特机场,内蒙古自治区,锡林郭勒盟,锡林浩特市
XIN,兴宁县机场,广东省,梅州市,兴宁市
XIY,西安咸阳机场,陕西省,咸阳市,渭城区
XMN,厦门机场,福建省,厦门市,湖里区
XNN,西宁机场,青海省,海东市,互助土族自治县
XNT,邢台机场,河北省,邢台市,沙河市
XUZ,徐州机场,江苏省,徐州市,睢宁县
YBP,宜宾机场,四川省,宜宾市,翠屏区
YIH,宜昌机场,湖北省,宜昌市,V亭区
YIN,伊宁机场,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市
YIW,义乌机场,浙江省,金华市,义乌市
YLN,宜兰机场,北京市,北京市,丰台区
YNJ,延吉机场,吉林省,延边朝鲜族自治州,延吉市
YNT,烟台机场,山东省,烟台市,蓬莱区
YNZ,盐城机场,江苏省,盐城市,亭湖区
YUA,元谋机场,云南省,楚雄彝族自治州,元谋县
ZAT,昭通机场,云南省,昭通市,昭阳区
ZGC,中川机场,甘肃省,兰州市,永登县
ZHA,湛江机场,广东省,湛江市,吴川市
ZUH,珠海机场,广东省,珠海市,金湾区
ZYI,遵义机场,贵州省,遵义市,红花岗区
